년도,교명,PR1,PR1,PR1,PR2,PR2,PR2,PR3,PR3,PR3,PR4,PR4,PR4,PR5,PR5,PR5,PR6,PR6,PR6,PR7,PR7,PR7,SC1,SC1,SC1,SC2,SC2,SC2,SC3,SC3,SC3,SC4,SC4,SC4,SC5,SC5,SC5,SC6,SC6,SC6,SC7,SC7,SC7,ST1,ST1,ST1,ST2,ST2,ST2,ST3,ST3,ST3,ST4,ST4,ST4,ST5,ST5,ST5,ST6,ST6,ST6,ST7,ST7,ST7,MA1,MA1,MA1,MA2,MA2,MA2,MA3,MA3,MA3,MA4,MA4,MA4,MA5,MA5,MA5,MA6,MA6,MA6,MA7,MA7,MA7,FA1,FA1,FA1,FA2,FA2,FA2,FA3,FA3,FA3,FA4,FA4,FA4,FA5,FA5,FA5,FA6,FA6,FA6,FA7,FA7,FA7,ET1,ET1,ET1,ET2,ET2,ET2,ET3,ET3,ET3,ET4,ET4,ET4,ET5,ET5,ET5,ET6,ET6,ET6,ET7,ET7,ET7
1975,안성농업전문학교(도립),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업고등전문학교 폐교,1975년 3월 28일,안성농업고등전문학교가 폐교됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1976,안성농업전문학교(도립),제11대 교장 곽상만 취임,1976년 2월 17일,제11대 교장으로 곽상만(1977.2.17. ~ 1977.3.24.)이 취임했다.,제12대 교장 윤수병 취임,1976년 4월 12일,제12대 교장으로 윤수병(1977.4.12 ~ 1978.3.20)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1977,안성농업전문학교(도립),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,국립 변경,1977년 9월 1일,당시 8월까지 늘어나는 학생수와 학교규모의 확대 및 시대적 요구에 맞춰 국립으로 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,농업토목과 증설,1977년 12월 28일,농업토목과가 1학급 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,강의실 증축,1977년 12월 31일,강의실 및 실험 실습실 증축이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1978,안성농업전문학교(도립),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문학교 입학식,1978년 3월,5개 학과로 400명의 신입생이 모집됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,농업가정과 증설,1978년 11월 8일,농업가정과가 1학급 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1979,안성농업전문대학,제1대 학장 윤수병 취임,1979년 3월 21일,제1대 학장으로 윤수병(1979.3.21. ~ 1979.8.2.)이 취임했다.,제2대 학장 김동우 취임,1979년 10월 19일,제2대 학장으로 김동우(1979.10.19 ~ 1983.10.16)가 취임했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문대학 설립 인가,1979년 1월 1일,안성농업전문대학이 설립(승격) 인가됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,강의실 및 부속시설 신축,1979년 12월 30일,강의실 및 부속시설이 신축 및 증축됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1980,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 증설 및 폐지,1980년 9월 13일,농업경영과 / 식품제조과 / 농업기계과 / 가정과 각 1학급이 증설됐고 농가정과가 폐지됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,생활관 및 실험실 신축,1980년 9월 20일, 가정과 학생들을 위한 생활관 및 실험실이 신축 및 증축됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1981,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학직장 예비군 편성,1981년 7월 1일,대학직장 예비군이 편성 및 발대됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 신설,1981년 3월,농업경영과 / 식품제조과 / 농업기계과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,합동 강의실 신축 준공,1981년 9월 21일,현 도서관으로 이용되는 합동 강의실의 신축 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1982,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,낙농과 신설,1982년 3월,낙농과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,영농 생활관 신축 준공,1982년 10월 13일,총 120명을 수용할 수 있는 영농 생활관이 신축 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1983,안성농업전문대학,제3대 학장 김동우 취임,1983년 10월 17일,제3대 학장으로 김동우(1983.10.17. ~ 1987.2.28.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 개관,1983년 2월,총 120명을 수용할 수 있는 비봉관이 개관됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1984,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교수 연구실 및 실험실 신축,1984년 10월 15일,교수 연구실 및 실험실의 신축 및 증축이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1985,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1986,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문대학 입학생,1986년 3월,농업경영과/식품제조과/농업기계과 1학급 40명씩 모집했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경,1986년 9월 13일,농업경영과/식품제조과/농업기계과가 증설됐고 농업가정과에서 가정과로 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1987,안성농업전문대학,제4대 학장 노흥식 취임,1987년 3월 1일,제4대 학장으로 노흥식(1987.3.1. ~ 1991.2.28.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,체육관 준공,1987년 10월 26일,강당 겸 체육관이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,체육관 개관,1987년 10월 26일,본 대학 체육관이 노흥식 학장을 비롯하여 전교직원 동창회장 및 임원 그리고 지역사회 많은 유지와 체육계인사가 참석한 가운데 성대하게 개관됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1988,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4년제 대학 승격 목소리,1988년 4월,본교 총학생회장과 간부 몇명이 본교 4년제 대학의 승격 도움을 요청했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,입학정원 증원,1988년 3월,입학정원 1000명 늘어남,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,과목 명칭 변경,1988년 3월,농업토목과에서 토목과로 명칭 변경,전자계산과 증설,1988년 12월,전자계산과가 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,비봉관 3층 증축,1988년 9월 20일,비봉관 3층 증축으로 총 180명 수용할 수 있게 됐다.,본관 건물 준공,1988년 9월 23일,지하 1층 및 지상 2층의 본관 건물이 준공됐다.,본관 2층 준공,1988년 10월 19일,본관 개축 공사로 2층이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,4년제 승격 도움 요청,1988년 4월,총학생회장과 간부 몇 명이 민정당 안성지구를 방문하여 본교의 4년제 대학 승격 도움을 요청. 요청을 받은 의원이 당시 교육부 실무자들을 만나 보니 대체로 본교의 4년제 승격에 대해 부정적인 인식을 갖고 있었다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1989,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,경기산업대학 교명 사용,1989년 2월,4년제 대학추진위원회에 경기산업대학으로 교명을 잠정 사용했다.,4년제 대학 승격 목소리,1989년 6월 22일,안성시의 지역 유지 및 주민들은 2년제 전문대학인 본교를 4년제 대학으로 승격시키기 위한 추진위원회를 발족하고 문교부에 관련 민원서류를 제출했다.,개방대학 개편 의견 수렴,1989년 11월 17일,일반대학으로 승격할 여건이나 역량이 충분히 갖추어지지 않아 승격이 불가능할 경우 기존 학과를 유지하는 조건 하에 본교를 개방대학으로 개편 후 추진하겠다는 것을 의결했다.,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문대학 입학생,1989년 3월,10개 학과 28개 학급 및 정원 1120명을 모집했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 학급 증설,1989년 10월 31일,환경관리과 및 생활교양과가 1학급 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,본관 3층 준공,1989년 11월 17일,본관 개축 공사로 3층이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1990,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,경기산업대학 합의,1990년 6월 4일,교수회에서 경기산업대학으로 합의했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,농촌개발과 증설,1990년 10월 23일,농촌개발과가 1학급 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,대학 외곽 도로 포장 공사,1990년 7월 28일,대학 외곽 도로 포장 공사가 준공됐다.,대학 구내 식당 준공,1990년 11월 15일,대학 구내 식당(2층)이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1991,안성농업전문대학,제5대 학장 노흥식 취임,1991년 3월 1일,제5대 학장으로 노흥식(1991.3.1. ~ 1993.3.30.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,경기산업대 설립 인가,1991년 4월 30일,교육부에서 경기산업대로 설립 인가 신청했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4년제 대학 승격 급 물살,1991년 2월,정원식 총리 입각 후 4년제 대학 승격이 급물살을 탔다. 총학생회장의 학생 스스로 쟁취하자는 발언 이후 전교생 천여 명이 4년제 대학으로의 승격을 요구하며 안성시내로 진출하여 시위를 벌였다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1992,안성농업전문대학,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성산업대 개편 인가,1992년 1월 20일,안성산업대학교로 개편 인가됐다.,교명에 대한 고민,1992년 1월 22일,대학 추진위원회에서 교명을 '경기'로 할 것인가 '안성'으로 할 것인가에 대한 의견을 교환했다.,안성산업대학 교명 변경,1992년 4월 26일,안성농업동창회에서 교명을 '안성산업대학'으로 변경해 줄 것을 결의했다.,안성산업대학 교명 주장,1992년 7월 29일,재경안농동창회 이사회에서 교명을 '안성산업대학'으로 할 것을 강력히 주장했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,교수 연구동 준공,1992년 8월 31일,교수 연구동 증축공사가 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,산업 대학 개편 계획 통보,1992년 1월 20일,교육부에서는 장관 명의로 본교를 93년부터 개방형의 산업대학으로 개편할 계획이라는 내용을 통보하고 세부 추진계획을 수립하여 개편에 따른 제반 업무추진에 만전을 기하라는 공문을 하달했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1993,안성산업대학교,초대 총장 한기영 취임,1993년 3월 1일,초대 총장으로 한기영(1993.3.1. ~ 1997.3.30.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성산업대학교 승격,1993년 3월 1일,안성농업전문대학(2년제)에서 안성산업대학교(4년제)로 승격(개교)했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학부제 변경,1993년 7월 1일,농학부/이공학부/사회과학부 총 3학부의 학부제로 변경됐다.,4개 학과 신설,1993년 9월 4일,전자공학과(야간)/산업행정학과(야간)/화학공학과(야간)/산업디자인학과(야간) 4개 학과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,기계 실습실 준공,1993년 12월 24일,기계 실습실(560.7제곱미터)이 준공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1994,안성산업대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문대학 폐교,1994년 2월 28일,안성농업전문대학이 폐교됐다.,대학소식지 창간,1994년 6월 1일,대학소식지 창간됐다. 창간호에는 한기영 총장의 창간사가 실렸다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문대학 제14회 졸업식,1994년 2월 18일,안성농업전문대학교의 제14회 졸업식이 진행됐다. 전문대학 최종회 졸업생은 368명으로 총 5088명이 배출됐다.,입학 정원 증원,1994년 9월 3일,주간 820명 및 야간 900명으로 총 1720명으로 증원됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,구 도서관 증축,1994년 9월 21일,구 도서관이 증축 개관됐다.,제1공학관 착공,1994년 10월 14일,제1공학관이 착공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1995,안성산업대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,산업체위탁교육 개설,1995년 8월 18일,산업체위탁교육이 개설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제1회 학위 수여식,1995년 2월 17일,제1회 학위 수여식(93년 3학년 편입생들)에서 총 126명이 수료했다.,입학 정원 증원,1995년 10월 6일,여러 학과 총 240명의 정원이 승인됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 신설,1995년 10월 6일,건축공학과/제어계측공학과/안전공학과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,구내 식당 3층 증축,1995년 2월,구내 식당으로 3층의 조립식 건물이 증축됐다.,조직 배양실 시설 변경,1995년 6월,조직 배양실 시설이 변경 공사됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1996,안성산업대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,낙농특성화대학교 선정,1996년 11월 1일,농림부지정 낙농특성화대학교로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제2회 학위 수여식,1996년 2월 23일,제2회 학위 수여식에서 총 232명이 수료했다.,입학 정원 증원,1996년 3월,6개학과 주간 2240명 및 야간 1840명으로 총 4080명의 입학 정원이 증원됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,법학과 신설,1996년 10월 12일,법학과(야간)이 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제1공학관 준공,1996년 9월 4일,제1공학관이 준공됐다.,제2공학관 1차 착공,1996년 12월 31일,제2공학관이 1차 착공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1997,안성산업대학교,제2대 총장 한기영 취임,1997년 3월 1일,제2대 총장으로 한기영(1997.3.31. ~ 2001.3.30.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제3회 학위 수여식,1997년 2월 21일,제3회 학위 수여식에서 총 865명이 수료했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 대거 변경,1997년 11월 3일,농학과→식물자원과학과 / 축산학과→동물생명자원학과 /  농촌개발학과→농촌공학과 / 전자계산학과→컴퓨터공학과 / 농업기계학과→생물자원기계학과로 학과 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1998,안성산업대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제4회 학위 수여식,1998년 2월,제4회 학위 수여식에서 총 767명이 수료했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,낙농기술지원센터 건립,1998년 11월 19일,제2공학관이 준공됐고 낙농기술지원센터가 건립됐다.,사회교육원 개원,1998년 12월 7일,사회교육원이 개원했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1999,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,장학진흥재단 설립,1999년 1월 8일,재단법인한경대학교학술. 장학진흥재단이 설립됐다.,한경대학교으로 교명 변경,1999년 3월 1일,한경대학교로 교명이 변경됐다.,교육개현추진 우수대학 선정,1999년 4월 29일,교육부 지정 교육개현추진 우수대학으로 선정 돼 국고 284000천원을 지원 받았다.,null,null,null,null,null,null,null,null,null,null,null,null,제5회 학위 수여식,1999년 2월 10일,제5회 학위 수여식에서 총 799명이 수료했다.,입학 정원 증원,1999년 11월 2일,정원 및 입학 인원 90명으로 증원됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경,1999년 3월,낙농학과→낙농과학과로 학과명이 변경됐다.,학과 신설,1999년 10월 29일,영어학과(야간)가 신설됐다.,다수의 학과 신설,1999년 11월 2일,식물자원과학과 / 동물생명자원학과 / 컴퓨터공학과 / 환경공학과 / 전자공학과 / 화학공학과 / 조경공학과 / 경영학과 / 산업디자인학과가 신설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 특성,1999년 3월,수업 및 재학 연안에 제한을 두지 않았기 때문에 학생들이 자유롭게 생업을 하면서도 수업을 받을 수 있는 특성을 갖고 있었다. 그 결과 일반대학보다 졸업지 자유로웠다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2000,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,새 교가 사용,2000년 2월 22일,새 교가가 사용됐다.,캠퍼스 마스터플랜 확정,2000년 2월 28일,한경대학교 캠퍼스 마스터플랜(2001~2010)이 확정됐다.,새로운 교훈 및 교목 설정,2000년 5월 21일,새로운 교훈과 교목 및 상징동물이 사용됐다.,특성화 기반 조성 지원사업,2000년 6월 14일,2000년 대학 다양화 및 특성화 기반조성지원사업 대상으로 선정돼 국고 2억 5백 30만 3천원을 지원 받았다.,기자재 첨단화지원사업 대학,2000년 8월 17일,이공계 대학연구소 기자재 첨단화지원사업 대상 대학으로 선정돼 국고 약 1억원을 지원 받았다.,전국대학평가 우수대학교 선정,2000년 9월 29일,중앙일보주관 전국대학평가 최우수교수진 확보 1위 및 취업률 및 사회평판도 우수대학교로 선정됐다.,null,null,null,전기 학위 수여식,2000년 2월 22일,1999학년도 전기 학위 수여식으로 학사 904명이 배출됐다.,2000학년도 입학식 진행,2000년 3월 2일,입학식이 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학과 명칭 변경,2000년 10월 11일,생명공학과(야간) 및 컴퓨터정보수리학과(야간)가 신설됐고 산업디자인학과에서 산업디자인학부로 학과 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,공동실험실습관 준공,2000년 9월 15일,공동실험실습관이 준공됐다.,인터넷 PC식 개소,2000년 10월 2일,제2공학과 1층 인터넷 PC식이 개소됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2001,한경대학교,제3대 총장 이원우 취임,2001년 3월 31일,제3대 총장으로 이원우(2001.3.31. ~ 2005.3.30.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,IT관련학과 지원대학 선정,2001년 2월 13일,정보 통신부 주관 IT관련학과 지원대학으로 선정됐다.,창업보육센터 수상,2001년 5월 9일,창업보육센터 중소기업청장상을 수상했다.,우수 산업대학교 선정,2001년 8월 24일,교육인적자원부 지정 우수 산업대학교로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,전기 학위 수여식,2001년 2월,학위 수여식이 진행됐다.,2001학년도 입학식 진행,2001년 3월,입학 984명 및 야간 입학 519명을 모집했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,다수의 학과 신설,2001년 11월 27일,웹정보공학과(야간) / 영양조리과학과(주간) / 의류산업학과(주간) / 과학기술법무학과(주간) / 미디어문예창작학과(야간) 학과가 신설됐다.,학과 명칭 변경,2001년 11월 27일,생활관리학과→아동가족복지학과로 학과 명칭이 변경됐고 가정학과가 폐지됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2002,한경대학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,장비 지원사업대상 대학 선정,2002년 2월 27일,2002년도 IT학과 장비 지원사업대상 대학으로 선정돼 1억원을 지원받았다.,BT분야 지정 대학 선정,2002년 11월 1일,경기도 주관 경기도지역협력연구센터(KRRC) BT분야 지정 대학으로 선정됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2001학년도 학위 수여식,2002년 2월 22일,2001학년도 학위 수여식에서 학사 1009명 및 석사 24명이 수료했다.,2002학년도 입학식 진행,2002년 3월 4일,신입생 1395명 및 편입생 330명 및 산업체 위탁생 170명이 입학했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,다수의 학과 명칭 변경,2002년 11월 1일,운동생리정보학과(주간)가 신설됐고 제어계측공학과→정보제어공학과 / 농촌공학과→지역자원시스템공학과로 학과 명칭이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
